				poi_id	poi_title
绕城公路	渔子溪湿地公园	105.49986	28.853631	101001900018	鱼子西
健身大道东湖天誉城内	天誉欢乐海底世界	107.221035	30.721834	101001900019	东湖公园
				101001900020	视频-人文类
七洞沟旅游景区	星空旱滑道	105.026360	28.660821	101001900021	视频-星空
芦花镇德石窝村3组15号	三奥雪山	102.921321	32.015976	101001900022	视频-雪山
				101001900023	视频-人物转场
				101001900024	片头
				101001900025	视频模版
草原乡	四川省阿坝藏族羌族自治州松潘县草原乡	103.135007	32.667589	101001900047	视频-草原
雅拉乡王母村	康定情歌(木格措)风景区	101.872437	30.170233	101001900056	康定木格措景区
318国道贡布卡二号桥	康定木雅圣地景区	101.728289	30.047911	101001900057	木雅圣地景区
